Term Set Name,Term Set Description,LCID,Available for Tagging,Term Description,Level 1 Term,Level 2 Term,Level 3 Term,Level 4 Term,Level 5 Term
Linnaean,The Taxonomy of Linnaean used to describe the Animal Kingdom,,TRUE,,Animals,,,,
,,,TRUE,,Animals,Amphibians,,,
,,,TRUE,,Animals,Amphibians,Frogs and toads  ,,
,,,TRUE,,Animals,Amphibians,Frogs and toads  ,True toads  ,
,,,TRUE,,Animals,Amphibians,Frogs and toads  ,Common toad  ,
,,,TRUE,,Animals,Amphibians,Frogs and toads  ,Venezuela pebble toad  ,
,,,TRUE,,Animals,Amphibians,Frogs and toads  ,Natterjack toad  ,
,,,TRUE,,Animals,Amphibians,Frogs and toads  ,Australasian tree frogs  ,
,,,TRUE,,Animals,Amphibians,Frogs and toads  ,Surinam toad  ,
,,,TRUE,,Animals,Amphibians,Frogs and toads  ,Darwin's frog  ,
,,,TRUE,,Animals,Amphibians,Salamanders  ,,
,,,TRUE,,Animals,Amphibians,Salamanders  ,Asian giant salamanders  ,
,,,TRUE,,Animals,Amphibians,Salamanders  ,Chinese giant salamander  ,
,,,TRUE,,Animals,Amphibians,Salamanders  ,Japanese giant salamander  ,
,,,TRUE,,Animals,Amphibians,Salamanders  ,Siberian salamander  ,
,,,TRUE,,Animals,Amphibians,Salamanders  ,Lungless salamanders  ,
,,,TRUE,,Animals,Amphibians,Salamanders  ,Texas blind salamander  ,
,,,TRUE,,Animals,Amphibians,Great crested newt  ,,
,,,TRUE,,Animals,Amphibians,Caecilians,,
,,,TRUE,,Animals,Birds,,,
,,,TRUE,,Animals,Birds,"Ducks, geese and swans  ",,
,,,TRUE,,Animals,Birds,"Ducks, geese and swans  ",Mandarin duck  ,
,,,TRUE,,Animals,Birds,"Ducks, geese and swans  ",Bar-headed goose  ,
,,,TRUE,,Animals,Birds,"Ducks, geese and swans  ",Barnacle goose  ,
,,,TRUE,,Animals,Birds,"Ducks, geese and swans  ",Snow goose  ,
,,,TRUE,,Animals,Birds,"Ducks, geese and swans  ",Swans  ,
,,,TRUE,,Animals,Birds,"Ducks, geese and swans  ",Mute swan  ,
